post_id,influencer_id,platform,date,url,caption,reach,likes,comments
35,5,YouTube,2025-06-08,http://youtube.com/watch?v=35,Check out HKVitals Multivitamins! #ad,28462,1598,291
36,5,YouTube,2025-05-21,http://youtube.com/watch?v=36,Check out HKVitals Multivitamins! #ad,32556,1965,154
37,5,YouTube,2025-02-17,http://youtube.com/watch?v=37,Check out Gritzo Peanut Butter! #ad,25376,1029,184
38,5,YouTube,2025-02-09,http://youtube.com/watch?v=38,Check out Gritzo Chia Seeds! #ad,35886,894,98
39,6,Facebook,2025-07-04,http://facebook.com/posts/39,Check out MuscleBlaze Protein Powder! #ad,20198,945,67
40,6,Facebook,2025-03-06,http://facebook.com/posts/40,Check out HKVitals Omega 3! #ad,21064,1393,162
41,6,Facebook,2025-07-15,http://facebook.com/posts/41,Check out Gritzo Oats! #ad,18101,1266,222
42,6,Facebook,2025-02-16,http://facebook.com/posts/42,Check out MuscleBlaze Protein Powder! #ad,23393,1030,185
43,6,Facebook,2025-07-23,http://facebook.com/posts/43,Check out MuscleBlaze Protein Powder! #ad,22985,1592,142
44,6,Facebook,2025-06-30,http://facebook.com/posts/44,Check out HKVitals Omega 3! #ad,23640,1604,319
45,6,Facebook,2025-05-17,http://facebook.com/posts/45,Check out Gritzo Chia Seeds! #ad,24586,725,59
46,6,Facebook,2025-02-09,http://facebook.com/posts/46,Check out Gritzo Chia Seeds! #ad,25412,1458,85
47,6,Facebook,2025-05-23,http://facebook.com/posts/47,Check out HKVitals Probiotics! #ad,31021,1444,84
48,6,Facebook,2025-05-08,http://facebook.com/posts/48,Check out MuscleBlaze Protein Powder! #ad,18368,429,76
49,7,Instagram,2025-02-21,http://instagram.com/post/49,Check out Gritzo Oats! #ad,99571,2189,136
50,7,Instagram,2025-06-06,http://instagram.com/post/50,Check out Gritzo Chia Seeds! #ad,96369,6431,518
51,7,Instagram,2025-06-17,http://instagram.com/post/51,Check out HKVitals Multivitamins! #ad,81700,2168,318
52,7,Instagram,2025-04-28,http://instagram.com/post/52,Check out HKVitals Multivitamins! #ad,67080,3424,460
53,7,Instagram,2025-02-18,http://instagram.com/post/53,Check out MuscleBlaze BCAA! #ad,78707,2617,497
54,7,Instagram,2025-07-19,http://instagram.com/post/54,Check out MuscleBlaze Protein Powder! #ad,87627,2443,427
55,7,Instagram,2025-06-15,http://instagram.com/post/55,Check out HKVitals Probiotics! #ad,122669,7403,957
56,7,Instagram,2025-06-08,http://instagram.com/post/56,Check out Gritzo Peanut Butter! #ad,119698,3013,547
57,7,Instagram,2025-03-21,http://instagram.com/post/57,Check out MuscleBlaze Protein Powder! #ad,108897,3024,279
58,7,Instagram,2025-03-11,http://instagram.com/post/58,Check out Gritzo Peanut Butter! #ad,78162,4041,362
59,7,Instagram,2025-05-04,http://instagram.com/post/59,Check out HKVitals Multivitamins! #ad,71813,2957,270
60,8,Facebook,2025-04-04,http://facebook.com/posts/60,Check out MuscleBlaze BCAA! #ad,132151,3710,431
61,8,Facebook,2025-06-15,http://facebook.com/posts/61,Check out HKVitals Probiotics! #ad,72423,1720,313
62,8,Facebook,2025-07-24,http://facebook.com/posts/62,Check out MuscleBlaze BCAA! #ad,74046,2847,378
63,8,Facebook,2025-04-23,http://facebook.com/posts/63,Check out MuscleBlaze Protein Powder! #ad,90807,5897,999
64,8,Facebook,2025-07-15,http://facebook.com/posts/64,Check out MuscleBlaze Mass Gainer! #ad,84762,2752,180
65,9,Instagram,2025-05-30,http://instagram.com/post/65,Check out Gritzo Oats! #ad,2411,76,5
66,9,Instagram,2025-07-03,http://instagram.com/post/66,Check out MuscleBlaze Mass Gainer! #ad,1373,78,7
67,9,Instagram,2025-04-19,http://instagram.com/post/67,Check out Gritzo Chia Seeds! #ad,2279,75,12
68,9,Instagram,2025-02-19,http://instagram.com/post/68,Check out HKVitals Multivitamins! #ad,2334,72,12
69,9,Instagram,2025-04-28,http://instagram.com/post/69,Check out HKVitals Omega 3! #ad,2290,145,12
70,9,Instagram,2025-06-06,http://instagram.com/post/70,Check out MuscleBlaze Mass Gainer! #ad,1723,108,21
71,9,Instagram,2025-03-24,http://instagram.com/post/71,Check out HKVitals Probiotics! #ad,1931,104,18
72,9,Instagram,2025-04-03,http://instagram.com/post/72,Check out MuscleBlaze Protein Powder! #ad,2355,77,10
73,9,Instagram,2025-03-22,http://instagram.com/post/73,Check out MuscleBlaze Protein Powder! #ad,2032,75,12
74,9,Instagram,2025-04-24,http://instagram.com/post/74,Check out Gritzo Chia Seeds! #ad,1477,95,7
75,9,Instagram,2025-02-07,http://instagram.com/post/75,Check out Gritzo Peanut Butter! #ad,1346,89,11
76,10,Facebook,2025-04-10,http://facebook.com/posts/76,Check out HKVitals Multivitamins! #ad,51119,3375,484
77,10,Facebook,2025-06-07,http://facebook.com/posts/77,Check out MuscleBlaze BCAA! #ad,49939,2265,339
78,10,Facebook,2025-04-02,http://facebook.com/posts/78,Check out HKVitals Probiotics! #ad,35335,931,105
79,10,Facebook,2025-04-13,http://facebook.com/posts/79,Check out Gritzo Chia Seeds! #ad,50006,2539,241
80,10,Facebook,2025-05-16,http://facebook.com/posts/80,Check out MuscleBlaze Mass Gainer! #ad,35124,1457,199
81,10,Facebook,2025-06-05,http://facebook.com/posts/81,Check out HKVitals Omega 3! #ad,38866,2090,264
82,10,Facebook,2025-07-02,http://facebook.com/posts/82,Check out Gritzo Oats! #ad,44111,1508,225
83,10,Facebook,2025-05-29,http://facebook.com/posts/83,Check out HKVitals Multivitamins! #ad,47967,2760,416
84,11,YouTube,2025-07-05,http://youtube.com/watch?v=84,Check out MuscleBlaze Protein Powder! #ad,19655,633,76
85,11,YouTube,2025-07-13,http://youtube.com/watch?v=85,Check out MuscleBlaze Mass Gainer! #ad,26091,1343,106
86,11,YouTube,2025-06-13,http://youtube.com/watch?v=86,Check out HKVitals Omega 3! #ad,25847,707,108
87,11,YouTube,2025-07-21,http://youtube.com/watch?v=87,Check out MuscleBlaze Mass Gainer! #ad,22863,1376,212
88,11,YouTube,2025-04-29,http://youtube.com/watch?v=88,Check out MuscleBlaze BCAA! #ad,23364,1458,172
89,11,YouTube,2025-07-04,http://youtube.com/watch?v=89,Check out HKVitals Probiotics! #ad,28016,1343,131
90,11,YouTube,2025-06-25,http://youtube.com/watch?v=90,Check out HKVitals Probiotics! #ad,32701,2112,240
91,11,YouTube,2025-07-24,http://youtube.com/watch?v=91,Check out Gritzo Peanut Butter! #ad,34057,1947,235
92,12,Twitter,2025-06-24,http://twitter.com/status/92,Check out MuscleBlaze BCAA! #ad,8853,521,63
93,12,Twitter,2025-03-17,http://twitter.com/status/93,Check out HKVitals Omega 3! #ad,7628,261,23
94,12,Twitter,2025-04-01,http://twitter.com/status/94,Check out Gritzo Oats! #ad,8001,252,38
95,12,Twitter,2025-06-15,http://twitter.com/status/95,Check out MuscleBlaze Protein Powder! #ad,9697,354,42
96,12,Twitter,2025-02-10,http://twitter.com/status/96,Check out MuscleBlaze Mass Gainer! #ad,9541,558,107
97,12,Twitter,2025-02-02,http://twitter.com/status/97,Check out Gritzo Peanut Butter! #ad,10077,676,64
98,12,Twitter,2025-04-15,http://twitter.com/status/98,Check out HKVitals Probiotics! #ad,11736,555,77
99,12,Twitter,2025-03-13,http://twitter.com/status/99,Check out HKVitals Multivitamins! #ad,8826,390,42
100,12,Twitter,2025-06-08,http://twitter.com/status/100,Check out Gritzo Peanut Butter! #ad,11593,719,135
101,13,Facebook,2025-07-24,http://facebook.com/posts/101,Check out HKVitals Probiotics! #ad,71127,1518,222
102,13,Facebook,2025-02-24,http://facebook.com/posts/102,Check out HKVitals Multivitamins! #ad,50003,1947,159
103,13,Facebook,2025-04-03,http://facebook.com/posts/103,Check out HKVitals Omega 3! #ad,59370,4011,454
104,13,Facebook,2025-07-10,http://facebook.com/posts/104,Check out MuscleBlaze Mass Gainer! #ad,48733,2289,457
105,13,Facebook,2025-04-07,http://facebook.com/posts/105,Check out MuscleBlaze BCAA! #ad,50756,3444,192
106,14,Instagram,2025-03-18,http://instagram.com/post/106,Check out MuscleBlaze Protein Powder! #ad,21280,679,82
107,14,Instagram,2025-02-20,http://instagram.com/post/107,Check out Gritzo Oats! #ad,19419,637,67
108,14,Instagram,2025-05-27,http://instagram.com/post/108,Check out Gritzo Chia Seeds! #ad,22434,1321,98
109,14,Instagram,2025-03-31,http://instagram.com/post/109,Check out MuscleBlaze BCAA! #ad,14190,505,76
110,14,Instagram,2025-04-12,http://instagram.com/post/110,Check out HKVitals Probiotics! #ad,16245,805,140
111,15,Twitter,2025-02-18,http://twitter.com/status/111,Check out Gritzo Peanut Butter! #ad,3511,175,11
112,15,Twitter,2025-05-19,http://twitter.com/status/112,Check out MuscleBlaze Mass Gainer! #ad,2959,157,9
113,15,Twitter,2025-06-04,http://twitter.com/status/113,Check out HKVitals Multivitamins! #ad,3510,214,14
114,15,Twitter,2025-04-09,http://twitter.com/status/114,Check out Gritzo Peanut Butter! #ad,3262,136,21
115,15,Twitter,2025-06-04,http://twitter.com/status/115,Check out HKVitals Probiotics! #ad,3438,161,19
116,15,Twitter,2025-04-24,http://twitter.com/status/116,Check out Gritzo Chia Seeds! #ad,2498,156,27
117,15,Twitter,2025-02-15,http://twitter.com/status/117,Check out HKVitals Omega 3! #ad,2456,106,15
118,15,Twitter,2025-04-13,http://twitter.com/status/118,Check out HKVitals Multivitamins! #ad,2892,104,12
119,16,Instagram,2025-07-03,http://instagram.com/post/119,Check out HKVitals Omega 3! #ad,58549,2916,530
120,16,Instagram,2025-05-17,http://instagram.com/post/120,Check out MuscleBlaze BCAA! #ad,85607,2078,328
121,16,Instagram,2025-05-04,http://instagram.com/post/121,Check out Gritzo Oats! #ad,75185,3931,485
122,16,Instagram,2025-07-02,http://instagram.com/post/122,Check out MuscleBlaze Protein Powder! #ad,59139,2378,205
123,16,Instagram,2025-06-07,http://instagram.com/post/123,Check out Gritzo Peanut Butter! #ad,66386,3090,351
124,16,Instagram,2025-06-23,http://instagram.com/post/124,Check out Gritzo Peanut Butter! #ad,61470,2623,251
125,16,Instagram,2025-03-15,http://instagram.com/post/125,Check out MuscleBlaze BCAA! #ad,55024,1429,186
126,16,Instagram,2025-06-26,http://instagram.com/post/126,Check out Gritzo Oats! #ad,54982,3130,286
127,16,Instagram,2025-05-24,http://instagram.com/post/127,Check out Gritzo Chia Seeds! #ad,58684,1468,116
128,16,Instagram,2025-03-14,http://instagram.com/post/128,Check out HKVitals Multivitamins! #ad,59464,3294,227
129,17,Facebook,2025-02-09,http://facebook.com/posts/129,Check out Gritzo Peanut Butter! #ad,53697,1412,254
130,17,Facebook,2025-05-04,http://facebook.com/posts/130,Check out MuscleBlaze Protein Powder! #ad,50144,2179,252
131,17,Facebook,2025-03-06,http://facebook.com/posts/131,Check out MuscleBlaze Mass Gainer! #ad,60716,2664,461
132,17,Facebook,2025-04-17,http://facebook.com/posts/132,Check out HKVitals Multivitamins! #ad,50229,2728,198
133,17,Facebook,2025-07-06,http://facebook.com/posts/133,Check out Gritzo Peanut Butter! #ad,36061,1168,156
134,18,Instagram,2025-05-27,http://instagram.com/post/134,Check out Gritzo Chia Seeds! #ad,6117,282,33
135,18,Instagram,2025-04-25,http://instagram.com/post/135,Check out HKVitals Probiotics! #ad,9476,334,47
136,18,Instagram,2025-05-27,http://instagram.com/post/136,Check out Gritzo Oats! #ad,9289,282,23
137,18,Instagram,2025-06-06,http://instagram.com/post/137,Check out MuscleBlaze Protein Powder! #ad,6180,294,21
138,18,Instagram,2025-04-18,http://instagram.com/post/138,Check out HKVitals Probiotics! #ad,7735,267,22
139,18,Instagram,2025-06-15,http://instagram.com/post/139,Check out HKVitals Probiotics! #ad,8903,209,17
140,18,Instagram,2025-03-21,http://instagram.com/post/140,Check out Gritzo Chia Seeds! #ad,8031,535,60
141,18,Instagram,2025-05-15,http://instagram.com/post/141,Check out MuscleBlaze BCAA! #ad,5780,192,13
142,18,Instagram,2025-02-10,http://instagram.com/post/142,Check out MuscleBlaze Mass Gainer! #ad,7740,473,89
143,18,Instagram,2025-04-24,http://instagram.com/post/143,Check out MuscleBlaze Mass Gainer! #ad,8152,448,85
144,18,Instagram,2025-05-06,http://instagram.com/post/144,Check out Gritzo Peanut Butter! #ad,7049,351,64
145,19,Twitter,2025-05-26,http://twitter.com/status/145,Check out HKVitals Multivitamins! #ad,13216,899,157
146,19,Twitter,2025-05-21,http://twitter.com/status/146,Check out Gritzo Oats! #ad,22758,1220,110
147,19,Twitter,2025-02-06,http://twitter.com/status/147,Check out MuscleBlaze Mass Gainer! #ad,17709,745,68
148,19,Twitter,2025-05-23,http://twitter.com/status/148,Check out HKVitals Probiotics! #ad,20811,1424,171
149,19,Twitter,2025-04-18,http://twitter.com/status/149,Check out HKVitals Omega 3! #ad,19297,1213,120
150,19,Twitter,2025-06-13,http://twitter.com/status/150,Check out HKVitals Omega 3! #ad,19218,769,126
151,19,Twitter,2025-02-05,http://twitter.com/status/151,Check out HKVitals Multivitamins! #ad,15561,562,109
152,19,Twitter,2025-04-18,http://twitter.com/status/152,Check out Gritzo Oats! #ad,19166,903,101
153,19,Twitter,2025-03-07,http://twitter.com/status/153,Check out Gritzo Peanut Butter! #ad,18798,844,98
154,19,Twitter,2025-02-08,http://twitter.com/status/154,Check out MuscleBlaze Mass Gainer! #ad,18027,1196,138
155,20,YouTube,2025-02-22,http://youtube.com/watch?v=155,Check out MuscleBlaze BCAA! #ad,34634,1107,81
156,20,YouTube,2025-05-16,http://youtube.com/watch?v=156,Check out MuscleBlaze BCAA! #ad,30716,959,168
157,20,YouTube,2025-02-20,http://youtube.com/watch?v=157,Check out HKVitals Multivitamins! #ad,35392,980,186
158,20,YouTube,2025-03-27,http://youtube.com/watch?v=158,Check out Gritzo Chia Seeds! #ad,28091,1734,341
159,20,YouTube,2025-03-17,http://youtube.com/watch?v=159,Check out HKVitals Probiotics! #ad,25579,755,105
160,20,YouTube,2025-06-23,http://youtube.com/watch?v=160,Check out MuscleBlaze Protein Powder! #ad,28146,1674,187
161,20,YouTube,2025-07-01,http://youtube.com/watch?v=161,Check out Gritzo Peanut Butter! #ad,38763,1323,125
162,20,YouTube,2025-05-23,http://youtube.com/watch?v=162,Check out Gritzo Chia Seeds! #ad,32308,886,115
163,20,YouTube,2025-04-06,http://youtube.com/watch?v=163,Check out HKVitals Probiotics! #ad,37638,1462,277
164,20,YouTube,2025-07-17,http://youtube.com/watch?v=164,Check out MuscleBlaze BCAA! #ad,27415,1073,191
165,20,YouTube,2025-04-19,http://youtube.com/watch?v=165,Check out MuscleBlaze Mass Gainer! #ad,37284,2060,353
166,20,YouTube,2025-04-14,http://youtube.com/watch?v=166,Check out Gritzo Chia Seeds! #ad,41890,1875,104
167,21,YouTube,2025-07-17,http://youtube.com/watch?v=167,Check out MuscleBlaze Mass Gainer! #ad,23116,1514,79
168,21,YouTube,2025-02-26,http://youtube.com/watch?v=168,Check out HKVitals Probiotics! #ad,39002,925,154
169,21,YouTube,2025-03-22,http://youtube.com/watch?v=169,Check out HKVitals Probiotics! #ad,33941,1781,316
170,21,YouTube,2025-07-14,http://youtube.com/watch?v=170,Check out Gritzo Chia Seeds! #ad,28233,1011,159
171,21,YouTube,2025-06-26,http://youtube.com/watch?v=171,Check out HKVitals Probiotics! #ad,21952,514,74
172,21,YouTube,2025-07-27,http://youtube.com/watch?v=172,Check out HKVitals Multivitamins! #ad,34928,1456,94
173,21,YouTube,2025-06-01,http://youtube.com/watch?v=173,Check out Gritzo Oats! #ad,29395,1607,298
174,21,YouTube,2025-02-07,http://youtube.com/watch?v=174,Check out HKVitals Multivitamins! #ad,26652,1032,74
175,21,YouTube,2025-05-12,http://youtube.com/watch?v=175,Check out HKVitals Probiotics! #ad,33742,978,74
176,21,YouTube,2025-05-27,http://youtube.com/watch?v=176,Check out HKVitals Probiotics! #ad,33767,1515,208
177,22,Twitter,2025-04-29,http://twitter.com/status/177,Check out Gritzo Peanut Butter! #ad,5334,284,52
178,22,Twitter,2025-04-29,http://twitter.com/status/178,Check out HKVitals Probiotics! #ad,5619,133,25
179,22,Twitter,2025-05-23,http://twitter.com/status/179,Check out HKVitals Probiotics! #ad,6982,380,45
180,22,Twitter,2025-03-29,http://twitter.com/status/180,Check out MuscleBlaze Mass Gainer! #ad,6626,167,17
181,22,Twitter,2025-04-09,http://twitter.com/status/181,Check out Gritzo Peanut Butter! #ad,7083,246,48
182,22,Twitter,2025-06-06,http://twitter.com/status/182,Check out HKVitals Omega 3! #ad,3853,243,40
183,22,Twitter,2025-02-08,http://twitter.com/status/183,Check out Gritzo Chia Seeds! #ad,5456,355,32
184,22,Twitter,2025-07-03,http://twitter.com/status/184,Check out MuscleBlaze BCAA! #ad,6457,199,15
185,23,YouTube,2025-06-10,http://youtube.com/watch?v=185,Check out Gritzo Chia Seeds! #ad,2764,74,4
186,23,YouTube,2025-05-31,http://youtube.com/watch?v=186,Check out Gritzo Oats! #ad,2208,92,12
187,23,YouTube,2025-06-20,http://youtube.com/watch?v=187,Check out MuscleBlaze Protein Powder! #ad,3106,112,12
188,23,YouTube,2025-03-09,http://youtube.com/watch?v=188,Check out MuscleBlaze BCAA! #ad,3057,117,14
189,23,YouTube,2025-03-23,http://youtube.com/watch?v=189,Check out MuscleBlaze Mass Gainer! #ad,3113,209,40
190,23,YouTube,2025-03-27,http://youtube.com/watch?v=190,Check out Gritzo Peanut Butter! #ad,2949,128,7
191,23,YouTube,2025-06-25,http://youtube.com/watch?v=191,Check out MuscleBlaze BCAA! #ad,2829,195,38
192,23,YouTube,2025-07-04,http://youtube.com/watch?v=192,Check out Gritzo Peanut Butter! #ad,1880,74,6
193,23,YouTube,2025-02-22,http://youtube.com/watch?v=193,Check out HKVitals Omega 3! #ad,2752,147,20
194,24,YouTube,2025-02-19,http://youtube.com/watch?v=194,Check out Gritzo Oats! #ad,7622,388,74
195,24,YouTube,2025-04-03,http://youtube.com/watch?v=195,Check out Gritzo Oats! #ad,8442,437,52
196,24,YouTube,2025-06-14,http://youtube.com/watch?v=196,Check out HKVitals Probiotics! #ad,7328,197,37
197,24,YouTube,2025-03-29,http://youtube.com/watch?v=197,Check out HKVitals Multivitamins! #ad,5880,378,26
198,24,YouTube,2025-04-27,http://youtube.com/watch?v=198,Check out HKVitals Probiotics! #ad,9845,539,70
199,24,YouTube,2025-05-23,http://youtube.com/watch?v=199,Check out Gritzo Chia Seeds! #ad,6147,250,16
200,24,YouTube,2025-05-04,http://youtube.com/watch?v=200,Check out Gritzo Peanut Butter! #ad,9797,332,50
201,24,YouTube,2025-03-12,http://youtube.com/watch?v=201,Check out HKVitals Omega 3! #ad,9851,618,40
202,24,YouTube,2025-06-11,http://youtube.com/watch?v=202,Check out HKVitals Probiotics! #ad,9624,502,29
203,24,YouTube,2025-03-24,http://youtube.com/watch?v=203,Check out MuscleBlaze Protein Powder! #ad,9844,602,38
204,25,Facebook,2025-06-03,http://facebook.com/posts/204,Check out Gritzo Chia Seeds! #ad,59562,1341,134
205,25,Facebook,2025-02-23,http://facebook.com/posts/205,Check out Gritzo Oats! #ad,34417,2005,162
206,25,Facebook,2025-03-12,http://facebook.com/posts/206,Check out MuscleBlaze Mass Gainer! #ad,54081,3214,448
207,25,Facebook,2025-03-24,http://facebook.com/posts/207,Check out MuscleBlaze Protein Powder! #ad,47557,2849,189
208,25,Facebook,2025-07-16,http://facebook.com/posts/208,Check out MuscleBlaze Protein Powder! #ad,32919,1958,167
209,25,Facebook,2025-04-02,http://facebook.com/posts/209,Check out MuscleBlaze Protein Powder! #ad,39899,1050,118
210,25,Facebook,2025-02-20,http://facebook.com/posts/210,Check out Gritzo Oats! #ad,45775,2696,342
211,25,Facebook,2025-02-19,http://facebook.com/posts/211,Check out HKVitals Probiotics! #ad,38678,1963,312
212,26,Instagram,2025-04-28,http://instagram.com/post/212,Check out Gritzo Oats! #ad,2585,113,12
213,26,Instagram,2025-06-11,http://instagram.com/post/213,Check out MuscleBlaze Mass Gainer! #ad,3957,166,30
214,26,Instagram,2025-04-02,http://instagram.com/post/214,Check out Gritzo Oats! #ad,2595,87,12
215,26,Instagram,2025-05-16,http://instagram.com/post/215,Check out Gritzo Peanut Butter! #ad,3259,162,15
216,26,Instagram,2025-05-07,http://instagram.com/post/216,Check out Gritzo Peanut Butter! #ad,2665,146,25
217,26,Instagram,2025-06-05,http://instagram.com/post/217,Check out Gritzo Chia Seeds! #ad,4279,177,32
218,26,Instagram,2025-04-19,http://instagram.com/post/218,Check out HKVitals Omega 3! #ad,3296,186,18
219,26,Instagram,2025-03-31,http://instagram.com/post/219,Check out Gritzo Peanut Butter! #ad,3245,89,16
220,26,Instagram,2025-02-11,http://instagram.com/post/220,Check out MuscleBlaze Protein Powder! #ad,2653,65,10
221,27,Facebook,2025-05-17,http://facebook.com/posts/221,Check out MuscleBlaze BCAA! #ad,45040,2165,325
222,27,Facebook,2025-04-19,http://facebook.com/posts/222,Check out HKVitals Probiotics! #ad,44711,1839,344
223,27,Facebook,2025-02-08,http://facebook.com/posts/223,Check out HKVitals Probiotics! #ad,31375,790,99
224,27,Facebook,2025-02-28,http://facebook.com/posts/224,Check out Gritzo Peanut Butter! #ad,29504,749,132
225,27,Facebook,2025-04-10,http://facebook.com/posts/225,Check out MuscleBlaze Mass Gainer! #ad,36925,2228,393
226,27,Facebook,2025-06-27,http://facebook.com/posts/226,Check out Gritzo Chia Seeds! #ad,39065,1868,264
227,27,Facebook,2025-06-06,http://facebook.com/posts/227,Check out Gritzo Peanut Butter! #ad,25361,853,140
228,28,Instagram,2025-04-07,http://instagram.com/post/228,Check out MuscleBlaze Protein Powder! #ad,52031,2513,276
229,28,Instagram,2025-02-26,http://instagram.com/post/229,Check out Gritzo Chia Seeds! #ad,54636,1343,174
230,28,Instagram,2025-04-12,http://instagram.com/post/230,Check out HKVitals Omega 3! #ad,38517,1483,234
231,28,Instagram,2025-06-29,http://instagram.com/post/231,Check out Gritzo Chia Seeds! #ad,31977,723,53
232,28,Instagram,2025-05-29,http://instagram.com/post/232,Check out MuscleBlaze BCAA! #ad,31891,1344,152
233,28,Instagram,2025-05-27,http://instagram.com/post/233,Check out HKVitals Omega 3! #ad,36786,2124,142
234,28,Instagram,2025-04-23,http://instagram.com/post/234,Check out MuscleBlaze Mass Gainer! #ad,47135,2340,301
235,28,Instagram,2025-03-30,http://instagram.com/post/235,Check out MuscleBlaze Protein Powder! #ad,39906,1993,101
236,28,Instagram,2025-03-29,http://instagram.com/post/236,Check out MuscleBlaze Protein Powder! #ad,49331,1700,115
237,28,Instagram,2025-05-06,http://instagram.com/post/237,Check out Gritzo Peanut Butter! #ad,34296,1337,207
238,29,Instagram,2025-02-12,http://instagram.com/post/238,Check out HKVitals Probiotics! #ad,22528,471,88
239,29,Instagram,2025-07-16,http://instagram.com/post/239,Check out HKVitals Probiotics! #ad,29740,1196,174
240,29,Instagram,2025-03-26,http://instagram.com/post/240,Check out MuscleBlaze Mass Gainer! #ad,22129,801,136
241,29,Instagram,2025-05-29,http://instagram.com/post/241,Check out HKVitals Probiotics! #ad,38880,948,167
242,29,Instagram,2025-03-17,http://instagram.com/post/242,Check out HKVitals Probiotics! #ad,29202,698,126
243,29,Instagram,2025-06-23,http://instagram.com/post/243,Check out HKVitals Multivitamins! #ad,27947,793,100
244,29,Instagram,2025-02-20,http://instagram.com/post/244,Check out Gritzo Chia Seeds! #ad,25353,1491,153
245,29,Instagram,2025-07-07,http://instagram.com/post/245,Check out Gritzo Oats! #ad,26143,714,56
246,29,Instagram,2025-05-26,http://instagram.com/post/246,Check out MuscleBlaze BCAA! #ad,23144,1563,225
247,29,Instagram,2025-04-29,http://instagram.com/post/247,Check out Gritzo Chia Seeds! #ad,30105,1993,268
248,30,Instagram,2025-07-16,http://instagram.com/post/248,Check out Gritzo Peanut Butter! #ad,2986,69,8
